"47BIBSYS_NTNU_UB","15/05/2015","25/06/2015","aio07EU","mig03EU"
"47BIBSYS_UBO","15/05/2015","25/06/2015","aio03EU","mig02EU"
"47BIBSYS_UBTO","15/05/2015","25/06/2015","aio02EU","mig03EU"
"47BIBSYS_NOBEL","15/05/2015","25/06/2015","aio06EU","mig04EU"
"47BIBSYS_UBB","15/05/2015","25/06/2015","aio05EU","mig05EU"
"47BIBSYS_UBIS","15/05/2015","25/06/2015","aio10EU","mig01EU"
"47BIBSYS_UBA","15/05/2015","25/06/2015","aio09EU","mig02EU"
"47BIBSYS_HIT","15/05/2015","25/06/2015","aio11EU","mig05EU"
"47BIBSYS_UBIN","15/05/2015","25/06/2015","aio12EU","mig04EU"
"47BIBSYS_HIOA","15/05/2015","25/06/2015","aio06EU","mig01EU"
"47BIBSYS_NMBU","15/05/2015","25/06/2015","aio05EU","mig04EU"
"47BIBSYS_HH","15/05/2015","25/06/2015","aio13EU","mig03EU"
"47BIBSYS_BI","15/05/2015","25/06/2015","aio13EU","mig04EU"
"47BIBSYS_NHHB","15/05/2015","25/06/2015","aio07EU","mig01EU"
"47BIBSYS_HBV","15/05/2015","25/06/2015","aio09EU","mig05EU"
"47BIBSYS_HIO","15/05/2015","25/06/2015","aio06EU","mig02EU"
"47BIBSYS_HINT","15/05/2015","25/06/2015","aio07EU","mig03EU"
"47BIBSYS_HVO","15/05/2015","25/06/2015","aio05EU","mig01EU"
"47BIBSYS_HIB","15/05/2015","25/06/2015","aio01AP","mig01EU"
"47BIBSYS_HIST","15/05/2015","25/06/2015","aio08EU","mig04EU"
"47BIBSYS_HIM","15/05/2015","25/06/2015","aio07EU","mig02EU"
"47BIBSYS_HSF","15/05/2015","25/06/2015","aio09EU","mig04EU"
"47BIBSYS_HIL","15/05/2015","25/06/2015","aio11EU","mig02EU"
"47BIBSYS_SSB","15/05/2015","25/06/2015","aio05EU","mig01EU"
"01SWRSRCH_INST","01/11/2014","14/11/2014","aio11NA","N/A"
"44COV_INST","02/02/2014","11/02/2014","impl2EU","N/A"
"44APU_INST","10/02/2014","18/02/2014","impl3EU","N/A"
"01BRAND_INST","02/03/2014","13/03/2014","aio08","N/A"
"01PRIN_INST","01/02/2017","23/02/2017","","N/A"
"44LSE_INST","17/02/2014","25/02/2014","impl2EU","N/A"
"01SOUTHWEST_INST","01/11/2014","14/11/2014","aio12NA","N/A"
"39CAM_INST","20/10/2015","30/10/2015","aio01EU","N/A"
"49MIT_INST","04/02/2016","18/02/2016","aio03EU","N/A"
"01UTON_UW","01/04/2014","09/04/2014","aio07","mig04"
"61MONASH_MA","18/02/2014","27/02/2014","aio01AP","N/A"
"61MONASH_SA","18/02/2014","27/02/2014","aio02AP","N/A"
"01CCOC_INST","16/04/2014","30/04/2014","aio08","mig05"
"01LILLY_INST","18/04/2014","30/04/2014","aio04","mig04"
"01INCARNATE_INST","19/09/2014","03/10/2014","aio03NA","N/A"
"01PURDUE_PUCL","11/05/2014","22/05/2014","aio07","N/A"
"01PURDUE_PUNC","11/05/2014","22/05/2014","aio01","N/A"
"61MACQUARIE_INST","20/11/2014","01/12/2014","aio02AP","N/A"
"01OKLA_NORMANLAW","18/12/2014","06/01/2015","aio05NA","mig01"
"01UTON_UW","23/04/2014","05/05/2014","aio07","mig04"
"01ALLIANCE_UO","02/06/2014","18/06/2014","aio06","mig06"
"01ALLIANCE_PSU","08/06/2014","23/06/2014","aio06","mig05"
"01ALLIANCE_UPUGS","08/06/2014","23/06/2014","aio03","mig06"
"01ALLIANCE_SOU","02/06/2014","16/06/2014","aio07","mig04"
"01ALLIANCE_WOU","08/06/2014","23/06/2014","aio01","mig04"
"01ALLIANCE_UPORT","02/06/2014","16/06/2014","aio02","mig05"
"01ALLIANCE_OHSU","16/06/2014","30/06/2014","aio01","mig05"
"01ALLIANCE_OIT","16/06/2014","30/06/2014","aio02","mig04"
"01ALLIANCE_MHCC","02/06/2014","16/06/2014","aio03","mig01"
"01ALLIANCE_CC","08/06/2014","23/06/2014","aio07","mig01"
"01ALLIANCE_PAHL_NCNM","16/06/2014","30/06/2014","aio06","mig06"
"01ALLIANCE_PAHL_OCOM","16/06/2014","30/06/2014","aio03","mig06"
"01ALLIANCE_PAHL_UWS","16/06/2014","30/06/2014","aio08","mig01"
"44COV_INST","17/06/2014","29/06/2014","impl2EU","N/A"
"01PRIN_INST","29/06/2017","15/07/2017","","N/A"
"01ALLIANCE_OSU","28/07/2014","25/08/2014","aio11","mig01"
"01ALLIANCE_CWU","30/08/2014","04/09/2014","aio08","mig04"
"01ALLIANCE_WHITC","28/07/2014","25/08/2014","aio12","mig01"
"01ALLIANCE_SEAU","28/07/2014","25/08/2014","aio07","mig05"
"01ALLIANCE_GFOX","10/07/2014","06/08/2014","aio08","mig01"
"01ALLIANCE_WALLA","28/07/2014","25/08/2014","aio02","mig05"
"01ALLIANCE_CHEMEK","28/07/2014","25/08/2014","aio03","mig06"
"01ALLIANCE_LANECC","10/07/2014","06/08/2014","aio07","mig04"
"01ALLIANCE_COCC","10/07/2014","06/08/2014","aio04","mig05"
"01ALLIANCE_EOU","10/07/2014","06/08/2014","aio11","mig06"
"44LSE_INST","17/07/2014","31/07/2014","impl2EU","N/A"
"44APU_INST","01/08/2014","13/08/2014","impl7EU","N/A"
"65SIM_INST","03/09/2014","17/09/2014","aio01AP","mig01AP"
"61MONASH_MA","13/08/2014","25/08/2014","aio01AP","N/A"
"61MONASH_SA","19/10/2014","29/10/2014","aio02AP","N/A"
"01TRAILS_NETWORK","08/06/2016","30/06/2016","","N/A"
"01TRAILS_UM_WES","08/06/2016","30/06/2016","","N/A"
"01TRAILS_MSU","08/06/2016","30/06/2016","",""
"01TRAILS_UM_WESTERN","08/06/2016","30/06/2016","",""
"01TRAILS_UM_MTECH","08/06/2016","30/06/2016","",""
"01TRAILS_AFFILIATES","08/06/2016","30/06/2016","",""
"01CALS_USM","13/01/2014","24/01/2014","aio04","mig01"
"01UTAH_INST","05/12/2014","18/12/2014","aio08NA","N/A"
"39CAM_INST","30/01/2016","08/02/2016","aio01EU","N/A"
"44KU_INST","30/01/2014","06/02/2014","Impl1EU","N/A"
"49MIT_INST","15/05/2016","26/05/2016","aio03EU","N/A"
"61UNI_NETWORK","01/09/2014","10/10/2014","aio04AP","N/A"
"61UNI_ACU","01/09/2014","10/10/2014","aio05AP","N/A"
"61UNI_CPE","01/09/2014","10/10/2014","aio06AP","N/A"
"61UNI_AVN","01/09/2014","10/10/2014","aio04AP","N/A"
"61UNI_CAM","01/09/2014","10/10/2014","aio05AP","N/A"
"61UNI_CIS","01/09/2014","10/10/2014","aio06AP","N/A"
"61UNI_CSU","01/09/2014","10/10/2014","aio04AP","N/A"
"61UNI_CHC","01/09/2014","10/10/2014","aio05AP","N/A"
"61UNI_JMC","01/09/2014","10/10/2014","aio06AP","N/A"
"61UNI_NAS","01/09/2014","10/10/2014","aio04AP","N/A"
"61UNI_NGA","01/09/2014","10/10/2014","aio05AP","N/A"
"61UNI_NPG","01/09/2014","10/10/2014","aio06AP","N/A"
"61UNI_ACP","01/09/2014","10/10/2014","aio04AP","N/A"
"61UNI_NPL","01/09/2014","10/10/2014","aio05AP","N/A"
"61UNI_KVB","01/09/2014","10/10/2014","aio06AP","N/A"
"61UNI_SAQ","01/09/2014","10/10/2014","aio04AP","N/A"
"61UNI_SJL","01/09/2014","10/10/2014","aio05AP","N/A"
"61UNI_SCU","01/09/2014","10/10/2014","aio06AP","N/A"
"61UNI_SGA","01/09/2014","10/10/2014","aio04AP","N/A"
"61UNI_TCM","01/09/2014","10/10/2014","aio05AP","N/A"
"61UNI_TBA","01/09/2014","10/10/2014","aio06AP","N/A"
"61UNI_TEG","01/09/2014","10/10/2014","aio04AP","N/A"
"61UNI_WID","01/09/2014","10/10/2014","aio05AP","N/A"
"01NWU_INST","05/03/2015","16/03/2015","aio06NA","N/A"
"01CALS_USM","15/05/2014","28/05/2014","aio07","mig01"
"65SIM_INST","24/11/2014","04/12/2014","aio01AP",""
